,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,IN_TREINEIRO,TP_SEXO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA
891039,495.3,582.4,585.6,658.8,780.0,0,M,1,1,SP
2359299,,,,,,0,F,1,1,SP
2441944,579.9,626.6,611.8,678.5,340.0,0,M,1,1,RS
3467673,597.8,492.4,521.7,478.8,580.0,0,F,3,1,MG
1648143,,,,,,0,F,2,2,RO
2297879,510.4,582.5,535.1,588.7,560.0,0,M,3,1,PR
622937,,,,,,0,F,1,1,SP
3085023,405.6,533.5,430.0,443.3,600.0,0,F,2,1,MG
2512036,,,,,,0,F,1,1,PA
152532,602.5,633.7,624.3,738.7,740.0,0,M,1,1,MA
836252,,,,,,0,F,1,1,SP
1186472,,,,,,0,F,1,1,PR
2567874,,,,,,0,F,1,3,BA
2349537,518.5,526.0,486.4,699.7,760.0,0,M,2,3,PE
951061,,,,,,0,F,1,3,BA
2664531,,,,,,0,F,2,3,RR
1373918,,,,,,0,F,2,3,CE
2380409,,,,,,0,M,1,1,SP
2858388,668.9,620.3,500.5,741.7,760.0,0,F,3,3,RJ
65278,,,,,,0,F,1,3,PI
1858744,,,,,,0,F,1,3,MG
1260733,,,,,,0,F,2,1,PR
3238480,447.3,356.3,447.6,754.2,880.0,0,M,2,3,PB
1178505,,,,,,0,F,1,1,RS
1388284,595.3,616.7,597.9,738.8,820.0,0,F,1,1,MG
1752857,,,,,,0,F,2,1,PA
1202660,530.1,375.9,429.3,545.7,460.0,0,M,2,1,SC
608408,518.2,483.5,565.0,439.1,640.0,0,F,1,1,SP
1587695,524.5,531.2,598.1,519.7,620.0,0,M,1,2,PR
513316,532.4,559.3,566.6,720.0,640.0,0,M,1,2,SP
2105764,557.8,548.1,451.1,675.4,860.0,0,F,3,1,MG
745606,614.2,663.6,585.2,744.5,900.0,0,F,2,3,MG
2985223,423.2,430.5,451.4,512.0,500.0,0,M,2,3,PR
43552,407.2,531.3,506.4,404.0,620.0,0,M,1,3,CE
723601,439.4,479.2,532.6,471.1,520.0,0,M,2,3,PA
1027845,472.5,445.9,526.6,405.8,800.0,0,M,1,3,PE
2870757,,,,,,1,F,1,1,MG
3227525,562.5,535.5,603.3,632.4,480.0,0,M,1,2,BA
679950,,,,,,0,F,1,1,SP
782793,449.1,406.4,465.2,398.5,520.0,0,F,2,3,MT
3386669,436.6,518.7,404.1,494.4,700.0,0,M,1,3,PA
2817454,468.8,482.5,464.5,481.2,340.0,0,M,2,3,PR
519174,460.5,440.0,368.9,601.6,580.0,0,M,1,1,BA
931924,,,,,,0,F,2,1,PE
2004902,,,,,,0,F,1,3,MG
1899119,,,,,,0,F,1,2,MG
1072382,398.3,489.0,318.8,431.6,0.0,0,F,1,3,AL
565250,376.4,458.2,450.4,431.1,600.0,0,F,2,0,MA
676731,,,,,,0,F,1,3,PE
2066104,419.7,549.4,532.8,476.1,680.0,0,F,1,3,PR
2582455,549.8,635.3,624.0,675.8,840.0,0,F,2,1,MG
2351579,,,,,,0,F,1,3,PA
2844641,,,,,,0,M,2,3,SP
657196,,,,,,0,M,1,3,ES
3356264,,,,,,0,M,1,3,PA
2558118,449.1,417.6,455.6,548.2,680.0,0,F,1,1,MT
675940,558.9,584.9,570.6,606.3,700.0,1,F,1,3,PR
398915,482.1,561.3,604.6,529.3,800.0,0,F,1,3,MG
2911908,566.9,572.9,566.3,473.6,680.0,0,M,3,1,RJ
863824,,,,,,0,F,1,1,PA
2453255,561.6,408.8,473.5,400.8,740.0,0,M,3,1,RS
1727113,,,,,,0,F,1,3,AL
666745,646.5,636.7,669.4,766.6,900.0,0,F,3,1,MT
755274,444.9,439.7,462.2,388.0,620.0,0,F,2,2,PA
3433017,,,,,,0,F,1,1,GO
3105825,456.6,401.9,561.4,485.7,820.0,0,F,1,1,PE
2842549,436.4,364.4,414.1,436.1,520.0,0,M,1,3,BA
2579844,494.8,572.7,540.7,764.1,620.0,0,M,1,1,PE
559044,393.6,500.5,355.1,506.0,580.0,1,F,1,3,BA
3096846,462.9,543.2,581.0,513.6,580.0,0,F,1,1,GO
4749,458.0,513.1,513.2,527.3,640.0,0,F,2,3,AM
1099455,392.9,551.5,568.1,615.2,540.0,0,F,1,0,RJ
1600214,,,,,,0,F,1,1,MG
757228,443.6,482.4,559.8,470.5,620.0,0,F,1,3,RJ
1331055,469.5,596.6,630.8,543.3,780.0,0,F,1,1,PA
410906,,,,,,0,F,2,1,MT
990691,441.4,455.1,529.3,618.4,600.0,0,M,1,1,CE
674038,568.3,545.5,561.1,638.1,980.0,0,F,1,1,ES
2837585,,,,,,0,M,2,1,SC
1104249,589.6,606.3,621.7,804.0,700.0,0,M,2,1,CE
968265,,,,,,0,F,2,4,RO
3315250,387.8,457.2,429.9,406.4,400.0,0,F,1,1,PA
1375143,469.6,503.8,524.0,438.5,400.0,0,F,1,1,PR
2217100,589.5,618.5,580.2,636.6,840.0,1,F,1,1,PI
3057723,,,,,,0,M,2,1,PR
2666088,480.0,527.5,534.1,552.3,680.0,0,F,2,2,SP
3335760,,,,,,0,M,2,2,AL
2452833,,,,,,0,F,2,3,MA
885466,437.4,473.3,496.1,447.8,560.0,0,F,1,2,RJ
2846435,,,,,,0,F,2,3,AM
443271,,,,,,0,F,1,1,SP
123164,452.0,584.5,478.8,568.5,760.0,1,F,1,3,RJ
988575,470.3,508.3,586.2,677.8,840.0,0,M,1,1,ES
1367692,,,,,,0,F,1,3,MA
77878,,,,,,0,F,1,3,GO
